순번,판례ID,제목,법원,사건유형,판결유형,선고일자
67,241241,임대료[소송서류가 당사자와 소송대리인에게 모두 송달된 경우 송달의 효력을 따지는 기준시점이 문제된 사건],대법원,대법원,민사,2024.07.25
68,241239,조례안의결무효확인[정당 현수막의 표시·설치에 관한 기준을 규정한 「부산광역시 옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 조례 일부개정조례안」(이하 ‘이 사건 조례안’)에 대한 의결의 무효확인을 구하는 사건】],대법원,대법원,일반행정,2024.07.25
69,241245,주권인도등청구의소[「주식·사채 등의 전자등록에 관한 법률」에 따른 주식 전자등록제도가 상장주식에 대한 주권의 발행 및 인도 청구에 미치는 영향이 문제된 사건],대법원,대법원,민사,2024.07.25
70,241231,청구이의[본래적 급부와 함께 집행불능 시 대상적 급부의 이행을 명한 판결에 대하여 청구이의의 소가 제기된 사건],대법원,대법원,민사,2024.07.25
71,241251,특정경제범죄가중처벌등에관한법률위반(사기)[국민참여재판으로 진행된 제1심에서 배심원 전원일치 무죄평결이 채택되어 무죄가 선고된 후 항소심에서의 증거조사범위가 문제된 사건],대법원,대법원,형사,2024.07.25
72,241011,보험료부과처분취소[동성 동반자에 대한 국민건강보험 피부양자 인정 여부가 문제된 사건],대법원,대법원,일반행정,2024.07.18
73,241015,양육비[당사자의 협의 또는 가정법원의 심판에 의하여 구체적인 지급청구권으로 성립하기 전의 과거 양육비에 관한 권리의 소멸시효 진행 여부가 문제된 사건],대법원,대법원,가사,2024.07.18
74,241017,정식재판청구권회복기각결정에대한재항고[피고인이 검사의 벌과금 납부독촉서를 송달받은 날에 약식명령이 고지된 사실을 알았다고 볼 수 있는지가 문제된 사안],대법원,대법원,형사,2024.07.18
75,241013,집합금지처분취소청구의소,대법원,대법원,일반행정,2024.07.18
76,241023,강제집행정지[청구이의의 소 및 잠정처분 신청 사건의 전속관할],대법원,대법원,민사,2024.07.11
77,241025,건물인도[‘최종 판결 전까지는 임대인과 임차인의 권리와 의무는 유지되는 것으로 한다.’는 특약의 의미가 문제된 사건],대법원,대법원,민사,2024.07.11
78,241047,공유물분할[친권자가 수인의 미성년자의 법정대리인으로서 소송행위를 한 경우의 효력이 문제된 사건],대법원,대법원,민사,2024.07.11
79,241041,"공직선거법위반[구 공직선거법 제93조 제1항 본문, 제255조 제2항 제5호 중 ‘인쇄물 배부’ 등에 관한 각 헌법불합치결정의 영향이 문제된 사안]",대법원,대법원,형사,2024.07.11
80,241049,구상금[가해자의 책임보험자에 대한 국민건강보험공단의 구상권과 피해자의 직접청구권 사이의 행사상 우열관계가 문제된 사건],대법원,대법원,민사,2024.07.11
81,241029,구상금[재난배상책임보험의 보험금 지급책임 발생 여부가 문제된 사건],대법원,대법원,민사,2024.07.11
82,241053,국민체육진흥법위반(도박개장등)·도박공간개설[형의 임의적 감면사유인 자수사실에 관한 진술을 유죄판결의 이유에서 명시하여야 하는지가 문제된 사안],대법원,대법원,형사,2024.07.11
83,241051,근로자지위확인등[근로자파견관계 인정 여부 등이 문제된 사건],대법원,대법원,민사,2024.07.11
84,241039,마약류관리에관한법률위반(향정)[국선변호인의 선정 없이 공판심리가 이루어져 피고인의 방어권이 침해되었는지 여부가 문제된 사건],대법원,대법원,형사,2024.07.11
85,241059,보험금[피보험자가 위험분담제에 따라 제약회사로부터 지급받은 환급금이 보험계약에서 지급대상으로 정한 본인부담금에 해당하는지 여부가 문제된 사건],대법원,대법원,민사,2024.07.11
86,241019,부당이득금[지방의회의 의결을 거치지 않은 지방자치단체의 중요 재산 처분행위의 효력이 문제된 사건],대법원,대법원,민사,2024.07.11
87,241045,부정경쟁행위중지등[「부정경쟁방지 및 영업비밀보호에 관한 법률」(이하 ‘부정경쟁방지법’)상 금지청구권자 해당 여부가 문제된 사건],대법원,대법원,민사,2024.07.11
88,241057,선박안전법위반·배임수재[감항성 결함 미신고행위에 해당하는지 여부가 문제된 사건],대법원,대법원,형사,2024.07.11
89,241063,소유권이전등기말소등기청구의소[「민간임대주택에 관한 특별법」 부칙(2015. 8. 28.) 제6조의 경과규정에 대한 해석이 문제된 사건],대법원,대법원,민사,2024.07.11
90,241021,"손해배상(기)[비법인사단의 대표자가 선량한 관리자의 주의의무를 위반한 경우, 비법인사단의 구성원에 대한 불법행위 손해배상책임의 성립 여부가 문제된 사건]",대법원,대법원,민사,2024.07.11
91,241033,손해배상(지)·손해배상(지),대법원,대법원,민사,2024.07.11
92,241037,손해배상(지)[저작권신탁관리업자가 홈페이지 등에 저작물을 이용한 평가문제를 게시한 공공기관을 상대로 손해배상을 구하는 사건],대법원,대법원,민사,2024.07.11
93,241055,시정명령등취소[치킨 프랜차이즈업을 영위하는 가맹본부인 원고가 가맹점사업자단체 활동 등을 이유로 가맹점사업자에게 불이익을 주는 행위 등을 하였는지 여부가 문제된 사건],대법원,대법원,일반행정,2024.07.11
94,241043,아동학대범죄의처벌등에관한특례법위반(아동학대살해)·아동복지법위반(상습아동학대)·아동복지법위반(상습아동유기·방임)[「아동학대범죄의 처벌 등에 관한 특례법」 위반(아동학대살해)죄에서 살해의 고의가 인정되는지 문제되는 사건],대법원,대법원,형사,2024.07.11
95,241027,임금등[비전업 시간강사가 초단시간근로자에 해당하는지 여부가 문제된 사건],대법원,대법원,민사,2024.07.11
96,241031,정산금청구의소[집합투자업자에 대한 이행청구 소송 판결 주문의 표시 방법이 문제된 사건],대법원,대법원,민사,2024.07.11
97,241065,중요재산처분승인거부처분취소[파산관재인이 중요재산 처분승인 거부처분에 대한 취소를 청구한 사건],대법원,대법원,일반행정,2024.07.11
98,241035,진폐장해위로금일부부지급처분취소[진폐장해위로금을 산정하는 방법이 문제된 사건],대법원,대법원,일반행정,2024.07.11
99,241061,회사에관한소송[주주가 회사를 상대로 이사 보수결의의 취소를 구하는 사건],대법원,대법원,민사,2024.07.11
100,240959,공격기피[파기환송 판결의 사실상 및 법률상 판단의 기속력],대법원,대법원,형사,2024.06.27
101,240953,근로기준법위반[구 근로기준법(2019. 4. 30. 법률 제16415호로 개정되기 전의 것) 제44조의2 위반의 고의가 문제된 사건],대법원,대법원,형사,2024.06.27
102,240951,근로기준법위반[기간제 근로계약의 근로조건 명시의무가 문제된 사건],대법원,대법원,형사,2024.06.27
103,240957,명의개서절차이행등청구[동업으로 주식회사를 설립한 경우 민법상 조합에 해당하는지 여부와 그 정산 방법 및 동업약정 당사자들의 공동사업이 주식회사 명의로 운영되고 주식회사 법리에 따르기 위한 요건 등이 문제된 사건],대법원,대법원,민사,2024.06.27
104,240937,법인세경정청구거부처분취소소송[당초신고에 대한 경정청구거부처분 취소소송에서 불복기간이 도과된 증액경정처분의 위법사유를 주장할 수 있는지 여부가 문제된 사건],대법원,대법원,세무,2024.06.27
105,240965,보험금[보험계약상 통지의무 위반이 문제된 사건],대법원,대법원,민사,2024.06.27
106,240967,부당이득금[보이스피싱 범죄자가 피해자 계좌에서 보이스피싱 범죄자의 채권자 계좌로 송금한 금원이 부당이득인지 여부가 문제된 사건],대법원,대법원,민사,2024.06.27
107,240973,부당이득금[사방시설이 적법하게 설치되지 않았음을 이유로 부당이득반환을 구하는 사건],대법원,대법원,민사,2024.06.27
108,240943,사기미수·도시및주거환경정비법위반[소송비용액확정결정신청의 소송비용액계산서에 실제 지출하지 않은 변호사비용을 기재한 행위가 소송사기에 해당하는지 여부가 문제된 사건],대법원,대법원,형사,2024.06.27
109,240947,손해배상(기)·손해배상(기),대법원,대법원,가사,2024.06.27
110,240963,수익금[담보신탁에서 위탁자의 부동산 처분 및 정산 후 잔여대금 채권에 대하여 선행 압류 및 추심명령 후 2순위 우선수익자로 지정된 원고가 수탁자와 선행 압류채권자를 상대로 2순위 우선수익권 상당의 금전 지급을 청구한 사건],대법원,대법원,민사,2024.06.27
111,240945,"위자료[부부 사이의 이혼을 원인으로 한 위자료 청구소송이 쌍방 책임정도가 대등하다고 판단되어 기각된 경우, 제3자에 대하여 이혼을 원인으로 한 위자료 청구를 할 수 있는지 여부가 문제된 사건]",대법원,대법원,가사,2024.06.27
112,240935,이혼등청구의소[부정행위를 한 부부의 일방이 배우자에게 위자료 및 재산분할 등으로 금원을 지급한 경우 이를 부정행위를 한 제3자의 위자료액수를 산정할 때 참작할 수 있는지 여부가 문제된 사건],대법원,대법원,가사,2024.06.27
113,240969,임대차보증금[상가건물 임대차계약의 묵시적 갱신이 문제된 사건],대법원,대법원,민사,2024.06.27
114,240961,임시대의원총회결의무효확인[사단법인인 피고가 정관에 근거규정이 없는데도 서면에 의한 결의로 임시대의원총회 결의를 갈음한 경우 그 결의의 효력이 문제된 사건],대법원,대법원,민사,2024.06.27
115,240941,입찰참가자격제한처분취소[국가계약법 제27조 제1항 제1호의 ‘계약을 이행할 때에 부정한 행위를 한 자’에 해당하는지 여부가 문제된 사건],대법원,대법원,일반행정,2024.06.27
116,240971,장부등열람허용가처분,대법원,대법원,민사,2024.06.27
117,240939,조례안재의결무효확인[보은군 농업인 공익수당 지원에 관한 조례안에 대한 재의결의 무효확인을 구하는 사건],대법원,대법원,일반행정,2024.06.27
118,240955,주거침입[피고인이 피해자가 거주하는 빌라 건물의 공동현관문을 열고 들어가 계단까지 침입한 사건],대법원,대법원,형사,2024.06.27
119,240949,중재판정의승인및집행허가[중재지의 의미 및 중재합의 시 중재지의 해석이 문제된 사건],대법원,대법원,민사,2024.06.27
120,240895,교통사고처리특례법위반(치상)[백색실선 침범이 교통사고처리 특례법 제3조 제2항 단서 제1호의 처벌특례 배제사유인 ‘통행금지를 내용으로 하는 안전표지 위반’에 해당하는지 여부가 문제된 사건],대법원,대법원,형사,2024.06.20
121,240897,손해배상(자)[국민연금공단이 장애연금을 지급한 후 국민연금법 제114조 제1항에 따라 피해자의 가해자에 대한 손해배상청구권을 대위하는 경우 그 대위 범위가 문제된 사건],대법원,대법원,민사,2024.06.20
122,240899,집행정지[의대정원 증원처분에 대한 집행정지신청 사건],대법원,대법원,일반행정,2024.06.19
123,240901,개인정보보호법위반(일부예비적죄명:정보통신망이용촉진및정보보호등에관한법률위반)[정보주체의 동의 없이 유통되는 개인정보를 매입하는 행위가 「개인정보 보호법」 제72조 제2호 전단의 ‘거짓이나 그 밖의 부정한 수단이나 방법으로 개인정보를 취득한 행위’에 해당하는지 여부가 문제된 사건],대법원,대법원,형사,2024.06.17
124,240903,부당이득금[상호저축은행이 대출 및 수익분배에 관한 약정에 따라 취득한 주식에 대한 유상감자대금이 부당이득으로서 반환되어야 하는지 문제된 사건],대법원,대법원,민사,2024.06.17
125,240905,종합소득세부과처분취소[사외유출금을 법인에 반환한 것이 귀속자의 종합소득세에 관한 후발적 경정청구사유가 되는지 여부가 문제된 사건],대법원,대법원,세무,2024.06.17
126,240911,건물인도[건물에서의 퇴거를 구하였는데 건물의 인도를 명할 수 있는지 문제된 사건],대법원,대법원,민사,2024.06.13
127,240909,구상금,대법원,대법원,민사,2024.06.13
128,240923,등록부정정[북한에서 출생한 북한이탈주민이 북한에서 사망한 부와의 사이에 친생자관계존재확인판결을 받아 가족관계등록부 중 부의 특정등록사항을 부의 제적부 기재내용과 동일하게 기록할 수 있는지 여부가 문제된 사건],대법원,대법원,가사,2024.06.13
129,240927,법인세부과처분등취소[구 법인세법 시행령(2016. 2. 12. 대통령령 제26981호로 개정되기 전의 것) 제11조 제9호의 ‘특수관계인’의 해석이 문제된 사건],대법원,대법원,세무,2024.06.13
130,240921,보조금환수처분취소청구의소[사회복지사업법 제42조 제3항 단서에 근거하여 한 보조금환수처분의 취소를 구하는 사건],대법원,대법원,일반행정,2024.06.13
131,240917,보험금,대법원,대법원,민사,2024.06.13
132,240915,부당이득금[공동저당권과 동순위로 배당받는 채권이 있는 경우 민법 제368조 제1항 ‘각 부동산 경매대가’의 의미 및 구체적인 배당액 산정방법이 문제된 사건],대법원,대법원,민사,2024.06.13
133,240931,예금채권압류처분무효확인[회생채권인 조세채권에 관하여 실권의 예외 법리가 인정되는지 여부가 문제된 사건],대법원,대법원,세무,2024.06.13
134,240913,유류분반환청구의소,대법원,대법원,민사,2024.06.13
135,240907,주주지위부존재확인등[주주총회 결의의 존부 또는 효력을 다투는 사건],대법원,대법원,민사,2024.06.13
136,240919,청구이의[동시이행판결의 채무자가 채권자의 반대의무 불이행을 주장하면서 청구이의의 소를 제기한 사건],대법원,대법원,민사,2024.06.13
137,240929,특정경제범죄가중처벌등에관한법률위반(횡령)·특정경제범죄가중처벌등에관한법률위반(배임)·강제집행면탈·예금자보호법위반[「부패재산의 몰수 및 회복에 관한 특례법」 제6조 제1항에서 몰수·추징의 요건으로 규정한 ‘범죄피해자가 그 재산에 관하여 범인에 대한 재산반환청구권 또는 손해배상청구권 등을 행사할 수 없는 등 피해회복이 심히 곤란한 경우’에 해당하는지 여부가 문제된 사건],대법원,대법원,형사,2024.06.13
138,240925,폭행·특수상해(인정된죄명:상해)·특수협박(인정된죄명:협박)·감금[피고인이 위험한 물건을 ‘휴대하여’ 피해자를 협박하고 상해를 가하였는지 여부가 문제된 사건],대법원,대법원,형사,2024.06.13
139,240933,손해배상(기)[지급명령 송달 전 채무자의 이의신청의 효력이 문제된 사건],대법원,대법원,민사,2024.06.07
140,241647,가등기말소,대법원,대법원,민사,2024.05.30
141,241655,부당이득금,대법원,대법원,민사,2024.05.30
142,241645,소유권말소등기,대법원,대법원,민사,2024.05.30
143,241657,손해배상(기),대법원,대법원,민사,2024.05.30
144,241649,손해배상(기),대법원,대법원,민사,2024.05.30
145,241651,손해배상(기),대법원,대법원,민사,2024.05.30
146,241653,채무부존재확인,대법원,대법원,민사,2024.05.30
147,241347,취소결정(특),대법원,대법원,특허,2024.05.30
148,240809,상해[형사소송법 제33조 제1항 제1호가 정한 필요적 국선변호인 선정사유인 ‘구속’의 의미],대법원,대법원,형사,2024.05.23
149,240805,폐기물부담금부과처분취소청구등[담배에 대한 부담금 납부의무와 관련하여 ‘제조장에서 반출’의 의미 및 부칙규정의 위헌 여부가 문제된 사건],대법원,대법원,일반행정,2024.05.23
150,240807,혼인의무효[혼인관계가 이혼으로 해소된 후 혼인관계의 무효 확인을 구할 수 있는지 여부가 문제된 사건],대법원,대법원,가사,2024.05.23
151,241661,구상금,대법원,대법원,민사,2024.05.17
152,241659,손해배상(기),대법원,대법원,민사,2024.05.17
153,240813,손해배상(기)[고객들이 대형 유통회사를 상대로 회사가 고객들의 동의 없이 개인정보를 보험회사들에 제공하였다는 이유로 손해배상을 청구한 사건],대법원,대법원,민사,2024.05.17
154,240811,양수금[중앙선을 침범한 교통사고로 발생한 손해배상청구권이 면책결정에 따라 면책되는지 여부가 문제된 사건],대법원,대법원,민사,2024.05.17
155,241663,유류분반환,대법원,대법원,민사,2024.05.17
156,241665,이혼·이혼및위자료,대법원,대법원,가사,2024.05.17
157,241673,강제집행정지,대법원,대법원,민사,2024.05.09
158,240815,공직선거법위반,대법원,대법원,형사,2024.05.09
159,241675,구상금,대법원,대법원,민사,2024.05.09
160,240837,구상금및사해행위취소의소,대법원,대법원,민사,2024.05.09
161,240825,구상금[보험자가 피보험자인 사용자에 대하여 그의 피용자에 대한 사용자책임을 근거로 보험자 대위를 할 수 있는지 여부가 문제된 사건],대법원,대법원,민사,2024.05.09
162,240819,기타(금전),대법원,대법원,민사,2024.05.09
163,241671,보험금,대법원,대법원,민사,2024.05.09
164,240821,보험금,대법원,대법원,민사,2024.05.09
165,241669,보험금,대법원,대법원,민사,2024.05.09
166,240827,보험금,대법원,대법원,민사,2024.05.09
